customer_id,country,age,gender,subscriber_type,tenure_months,num_streams,customer_service_calls,monthly_charges,is_subscribed
100111,United States,37.0,male,premium,12.0,18.0,3.0,16.54,False
100112,United States,54.0,male,basic,18.0,14.0,1.0,8.61,True
100113,Singapore,38.0,female,premium,10.0,15.0,1.0,15.62,True
100114,United States,33.0,male,basic,11.0,18.0,1.0,9.04,True
100115,Australia,31.0,female,student,52.0,18.0,1.0,7.23,True
100116,Canada,37.0,male,basic,15.0,18.0,0.0,8.9,False
100117,United Kingdom,21.0,male,basic,41.0,23.0,3.0,9.14,False
100118,Singapore,29.0,female,basic,3.0,17.0,0.0,9.28,True
100119,United Kingdom,56.0,male,basic,34.0,18.0,1.0,8.28,True
100120,Singapore,36.0,male,basic,8.0,20.0,1.0,8.82,True
100121,United Kingdom,37.0,male,basic,28.0,22.0,2.0,8.73,False
100122,United States,18.0,male,basic,8.0,15.0,1.0,8.75,False
100123,Singapore,45.0,female,basic,11.0,20.0,0.0,9.19,False
100124,United States,36.0,nonbinary,premium,6.0,18.0,1.0,15.74,False
100125,Singapore,32.0,female,premium,28.0,14.0,1.0,14.99,False
100126,United States,37.0,male,basic,32.0,22.0,3.0,8.87,False
100127,United States,32.0,female,basic,8.0,22.0,1.0,8.46,False
100128,United States,18.0,male,basic,4.0,12.0,0.0,9.24,True
100129,Singapore,49.0,male,basic,40.0,15.0,0.0,9.39,True
100130,United States,41.0,male,basic,9.0,15.0,2.0,7.9,False
100131,Malaysia,34.0,male,family,14.0,21.0,1.0,19.6,True
100132,Singapore,26.0,female,student,7.0,14.0,3.0,7.17,False
100133,United States,20.0,male,student,27.0,18.0,1.0,6.29,False
100134,Singapore,41.0,male,premium,27.0,20.0,1.0,16.38,True
100135,United States,57.0,female,premium,45.0,23.0,1.0,16.51,True
100136,Malaysia,40.0,male,basic,34.0,11.0,0.0,8.91,True
100137,Singapore,21.0,male,family,33.0,19.0,2.0,19.6,True
100138,Canada,41.0,male,family,15.0,13.0,1.0,18.83,False
100139,United States,37.0,male,family,14.0,24.0,2.0,20.4,True
100140,Singapore,48.0,female,student,26.0,18.0,1.0,7.99,False
100141,Singapore,45.0,male,premium,14.0,17.0,1.0,16.89,False
100142,Malaysia,37.0,female,family,35.0,14.0,1.0,19.89,False
100143,Singapore,45.0,female,family,7.0,21.0,1.0,19.44,False
100144,Singapore,26.0,female,basic,3.0,19.0,1.0,9.41,False
100145,United States,21.0,female,student,24.0,21.0,2.0,6.93,True
100146,United States,36.0,female,basic,10.0,23.0,2.0,9.23,False
100147,Singapore,43.0,male,student,6.0,15.0,3.0,7.14,False
100148,Singapore,18.0,female,family,64.0,18.0,1.0,20.04,False
100149,United States,46.0,female,basic,16.0,18.0,2.0,9.5,False
100150,Australia,47.0,female,family,5.0,12.0,0.0,20.52,False
100151,Australia,37.0,male,basic,9.0,17.0,0.0,8.73,True
100152,United States,28.0,female,family,13.0,26.0,2.0,19.53,True
100153,Singapore,26.0,female,family,24.0,20.0,3.0,18.74,True
100154,United States,50.0,male,premium,9.0,21.0,1.0,15.82,False
100155,United Kingdom,20.0,female,student,14.0,18.0,1.0,6.44,False
100156,United States,51.0,male,basic,20.0,18.0,0.0,9.2,True
100157,United Kingdom,37.0,female,basic,23.0,16.0,2.0,8.82,True
100158,Canada,37.0,female,premium,15.0,15.0,1.0,15.88,True
100159,Canada,18.0,female,basic,51.0,23.0,1.0,9.4,True
100160,United States,36.0,male,premium,27.0,16.0,0.0,16.19,True
100161,Malaysia,45.0,female,basic,26.0,11.0,0.0,8.93,False
100162,United States,22.0,male,premium,25.0,17.0,2.0,16.83,False
100163,United States,44.0,female,premium,35.0,23.0,1.0,16.36,True
100164,Singapore,39.0,male,student,19.0,11.0,3.0,6.78,False
100165,United States,30.0,female,basic,7.0,18.0,1.0,8.8,True
100166,Australia,48.0,female,student,22.0,20.0,1.0,7.38,True
100167,Canada,18.0,female,premium,24.0,26.0,2.0,16.09,False
100168,United States,42.0,male,basic,39.0,18.0,2.0,8.43,False
100169,Malaysia,57.0,female,premium,6.0,19.0,2.0,16.44,True
100170,United States,55.0,nonbinary,premium,7.0,15.0,1.0,16.62,True
100171,Singapore,43.0,male,basic,17.0,16.0,0.0,9.58,True
100172,United States,34.0,nonbinary,premium,26.0,17.0,2.0,16.76,True
100173,Malaysia,30.0,female,basic,5.0,20.0,0.0,10.02,True
100174,United States,34.0,male,premium,6.0,19.0,2.0,16.03,False
100175,United States,45.0,male,premium,30.0,15.0,1.0,16.16,False
100176,Singapore,28.0,male,premium,5.0,13.0,2.0,15.89,False
100177,Malaysia,47.0,nonbinary,family,8.0,19.0,2.0,19.08,False
100178,Australia,64.0,male,basic,31.0,20.0,0.0,8.98,True
100179,Canada,37.0,male,student,25.0,9.0,1.0,7.25,False
100180,Australia,22.0,male,family,9.0,18.0,1.0,20.01,True
100181,Australia,22.0,female,student,23.0,18.0,0.0,6.05,False
100182,Singapore,47.0,male,family,20.0,20.0,0.0,19.85,True
100183,United States,37.0,male,basic,15.0,28.0,0.0,9.31,False
100184,Canada,49.0,male,premium,12.0,20.0,0.0,15.48,True
100185,United Kingdom,32.0,male,basic,23.0,25.0,2.0,9.07,False
100186,United States,48.0,female,family,6.0,14.0,1.0,20.21,False
100187,United States,36.0,female,premium,22.0,15.0,0.0,16.55,False
100188,Canada,29.0,female,basic,19.0,18.0,1.0,9.85,True
100189,United States,33.0,male,student,20.0,18.0,1.0,6.8,False
100190,Malaysia,24.0,female,basic,7.0,13.0,2.0,9.08,True
100191,United States,62.0,male,premium,40.0,19.0,1.0,16.1,True
100192,United States,37.0,male,family,9.0,21.0,0.0,20.31,False
100193,Australia,46.0,male,basic,11.0,22.0,0.0,9.26,False
100194,United States,32.0,female,premium,14.0,26.0,4.0,16.7,False
100195,United States,25.0,male,family,25.0,18.0,5.0,18.82,False
100196,Singapore,35.0,female,basic,19.0,15.0,3.0,9.2,False
100197,Australia,51.0,male,premium,4.0,16.0,0.0,16.23,True
100198,United States,32.0,female,basic,16.0,18.0,4.0,8.87,True
100199,United States,28.0,female,family,17.0,11.0,1.0,18.86,False
100200,Canada,40.0,female,basic,41.0,18.0,0.0,8.96,True
100201,Malaysia,44.0,male,student,13.0,18.0,1.0,6.63,True
100202,Singapore,58.0,female,student,24.0,16.0,1.0,7.83,False
100203,United States,42.0,male,basic,83.0,18.0,1.0,9.18,True
100204,United States,46.0,male,basic,36.0,12.0,1.0,8.59,True
100205,United States,47.0,male,premium,7.0,14.0,2.0,14.96,True
100206,United States,24.0,female,family,28.0,12.0,1.0,20.29,True
100207,United Kingdom,26.0,female,premium,22.0,15.0,0.0,16.34,False
100208,United States,25.0,female,basic,12.0,14.0,1.0,8.88,False
100209,Singapore,22.0,female,basic,28.0,18.0,0.0,9.29,True
100210,United Kingdom,48.0,male,student,7.0,28.0,1.0,6.82,False
100211,Singapore,41.0,female,premium,10.0,19.0,0.0,16.52,False
100212,United States,39.0,female,student,14.0,14.0,1.0,6.94,False
100213,Canada,18.0,female,premium,12.0,10.0,2.0,15.17,False
100214,United Kingdom,63.0,female,student,26.0,17.0,1.0,6.29,False
100215,Canada,27.0,female,basic,16.0,13.0,0.0,10.01,True
100216,United States,63.0,male,basic,11.0,15.0,1.0,9.46,False
100217,United States,21.0,female,student,36.0,11.0,1.0,6.36,False
100218,Malaysia,28.0,nonbinary,student,25.0,14.0,2.0,6.2,False
100219,Singapore,18.0,male,basic,4.0,12.0,2.0,9.09,False
100220,United States,42.0,female,premium,4.0,21.0,0.0,15.42,True
100221,Singapore,37.0,female,premium,11.0,13.0,0.0,15.83,True
100222,United Kingdom,25.0,female,premium,5.0,15.0,1.0,15.97,True
100223,Malaysia,22.0,female,basic,32.0,26.0,1.0,8.94,True
100224,United States,47.0,female,student,10.0,18.0,0.0,7.55,True
100225,Malaysia,47.0,male,basic,24.0,20.0,2.0,9.91,True
100226,United States,60.0,male,family,27.0,22.0,2.0,19.75,True
100227,Singapore,30.0,female,basic,2.0,18.0,2.0,8.42,True
100228,United Kingdom,37.0,male,basic,10.0,21.0,1.0,9.18,False
100229,United States,23.0,female,family,14.0,16.0,0.0,20.81,True
100230,United States,34.0,nonbinary,basic,20.0,14.0,2.0,8.79,True
100231,Singapore,32.0,female,family,31.0,16.0,0.0,20.42,False
100232,Malaysia,37.0,male,basic,66.0,18.0,1.0,8.57,True
100233,Singapore,50.0,male,student,48.0,20.0,3.0,7.0,False
100234,Malaysia,50.0,female,family,16.0,13.0,1.0,19.41,True
100235,Canada,37.0,female,student,15.0,18.0,0.0,7.0,True
100236,Singapore,50.0,female,basic,45.0,17.0,1.0,8.93,False
100237,Canada,37.0,male,basic,16.0,18.0,0.0,9.29,False
100238,United States,34.0,male,premium,10.0,11.0,1.0,16.88,False
100239,United States,29.0,male,premium,32.0,24.0,0.0,15.8,False
100240,Australia,31.0,male,basic,21.0,17.0,1.0,7.99,False
100241,Canada,59.0,male,basic,4.0,26.0,3.0,8.89,True
100242,United States,42.0,female,premium,13.0,16.0,0.0,16.14,False
100243,Singapore,40.0,male,basic,5.0,24.0,1.0,9.09,True
100244,United Kingdom,35.0,female,premium,1.0,14.0,2.0,15.91,False
100245,Australia,67.0,female,basic,52.0,23.0,2.0,9.73,False
100246,United Kingdom,54.0,male,basic,18.0,23.0,0.0,8.98,True
100247,Singapore,29.0,female,premium,13.0,17.0,1.0,15.94,True
100248,United States,35.0,female,premium,11.0,25.0,2.0,15.6,True
100249,Singapore,35.0,male,basic,17.0,19.0,3.0,8.12,False
100250,United Kingdom,40.0,female,premium,11.0,14.0,1.0,16.15,False
100251,Australia,30.0,female,family,7.0,16.0,1.0,20.11,True
100252,Singapore,43.0,female,premium,11.0,22.0,2.0,16.03,True
100253,United States,55.0,male,premium,42.0,17.0,1.0,15.97,False
100254,United States,22.0,male,student,32.0,18.0,0.0,6.92,False
100255,Canada,24.0,female,premium,11.0,12.0,2.0,15.68,False
100256,Canada,32.0,female,student,56.0,19.0,1.0,6.59,True
100257,United States,33.0,female,family,15.0,19.0,1.0,20.19,True
100258,United States,62.0,male,basic,8.0,21.0,1.0,8.88,True
100259,Singapore,50.0,female,premium,21.0,18.0,2.0,15.69,True
100260,United States,49.0,male,family,46.0,16.0,1.0,19.56,True
100261,Australia,35.0,male,student,40.0,18.0,1.0,6.93,True
100262,United States,35.0,female,premium,9.0,19.0,1.0,16.45,True
100263,United States,21.0,male,basic,6.0,19.0,0.0,9.09,False
100264,Malaysia,47.0,male,premium,12.0,21.0,1.0,15.87,True
100265,United States,44.0,male,basic,24.0,22.0,1.0,9.14,False
100266,United States,53.0,female,family,29.0,20.0,2.0,20.67,True
100267,United States,35.0,male,premium,37.0,18.0,1.0,16.24,True
100268,United States,36.0,male,family,19.0,14.0,1.0,20.12,True
100269,United States,40.0,male,student,19.0,24.0,1.0,7.31,False
100270,United States,49.0,nonbinary,premium,18.0,19.0,0.0,15.91,True
100271,United States,20.0,female,premium,33.0,26.0,0.0,16.08,False
100272,United States,47.0,male,family,29.0,12.0,3.0,19.75,False
100273,Singapore,38.0,male,family,9.0,20.0,0.0,19.21,True
100274,United Kingdom,37.0,female,student,27.0,27.0,3.0,7.16,False
100275,Singapore,18.0,female,basic,32.0,21.0,1.0,9.16,True
100276,United States,36.0,female,premium,34.0,14.0,1.0,15.85,True
100277,Singapore,55.0,male,basic,21.0,15.0,1.0,9.51,True
100278,Australia,58.0,female,student,20.0,14.0,3.0,6.63,True
100279,Australia,42.0,male,premium,16.0,10.0,2.0,15.1,False
100280,United States,62.0,female,premium,17.0,20.0,1.0,15.64,True
100281,United States,37.0,female,basic,50.0,24.0,1.0,8.22,False
100282,United States,49.0,male,basic,18.0,21.0,1.0,9.16,True
100283,United States,33.0,female,family,9.0,16.0,2.0,19.61,True
100284,Singapore,32.0,male,basic,21.0,18.0,1.0,9.48,True
100285,Singapore,30.0,female,basic,28.0,18.0,1.0,9.47,True
100286,United States,18.0,male,student,33.0,26.0,1.0,6.53,True
100287,United States,53.0,female,family,7.0,19.0,0.0,20.0,True
100288,Singapore,30.0,nonbinary,basic,44.0,26.0,1.0,9.26,True
100289,United States,28.0,male,basic,28.0,13.0,1.0,8.98,False
100290,Australia,24.0,female,student,42.0,17.0,1.0,5.98,False
100291,United States,36.0,female,family,5.0,13.0,1.0,20.13,True
100292,Malaysia,59.0,female,premium,35.0,26.0,2.0,14.89,False
100293,United States,63.0,male,basic,7.0,7.0,1.0,8.72,False
100294,Australia,18.0,male,basic,13.0,22.0,1.0,8.98,True
100295,Australia,34.0,female,basic,28.0,19.0,1.0,10.49,True
100296,Malaysia,26.0,female,family,6.0,14.0,1.0,19.87,False
100297,Canada,50.0,male,basic,11.0,19.0,1.0,8.37,False
100298,Canada,41.0,male,basic,5.0,15.0,0.0,8.73,False
100299,United Kingdom,30.0,male,family,28.0,13.0,1.0,20.02,False
100300,Canada,39.0,female,student,8.0,24.0,2.0,6.65,False
100301,United States,32.0,male,family,17.0,16.0,3.0,19.53,True
100302,Singapore,57.0,nonbinary,premium,22.0,22.0,2.0,15.78,False
100303,Singapore,45.0,female,premium,21.0,20.0,0.0,16.19,True
100304,Australia,46.0,female,premium,19.0,12.0,0.0,15.91,True
100305,Singapore,18.0,female,basic,19.0,16.0,4.0,8.55,False
100306,Singapore,37.0,male,premium,5.0,25.0,1.0,15.65,True
100307,United Kingdom,63.0,female,premium,14.0,16.0,0.0,15.78,False
100308,United States,54.0,male,premium,19.0,24.0,0.0,15.49,True
100309,United States,18.0,male,student,18.0,15.0,1.0,6.64,True
100310,Singapore,34.0,male,student,15.0,20.0,1.0,7.31,True
100311,Singapore,24.0,male,basic,9.0,15.0,1.0,8.87,False
100312,United States,59.0,female,premium,20.0,22.0,0.0,15.11,False
100313,United States,41.0,male,basic,23.0,18.0,1.0,9.5,False
100314,United States,29.0,female,premium,12.0,13.0,3.0,16.2,True
100315,United States,38.0,male,basic,33.0,18.0,0.0,8.3,False
100316,United States,18.0,male,basic,44.0,15.0,1.0,8.81,True
100317,United Kingdom,25.0,male,family,17.0,18.0,0.0,19.59,False
100318,United States,38.0,male,premium,9.0,18.0,2.0,16.33,False
100319,Malaysia,48.0,female,student,6.0,18.0,2.0,6.8,False
100320,Malaysia,37.0,male,basic,13.0,13.0,2.0,8.95,False
100321,Singapore,33.0,male,basic,16.0,27.0,1.0,8.9,True
100322,United States,50.0,male,premium,6.0,20.0,3.0,16.03,False
100323,Singapore,21.0,female,basic,13.0,10.0,2.0,9.69,False
100324,Australia,41.0,female,basic,32.0,19.0,2.0,9.32,True
100325,United Kingdom,39.0,male,student,2.0,18.0,1.0,6.62,False
100326,Canada,59.0,female,basic,18.0,16.0,1.0,9.09,True
100327,Singapore,35.0,male,basic,11.0,22.0,0.0,9.48,True
100328,United Kingdom,36.0,male,premium,17.0,20.0,4.0,16.02,False
100329,United States,48.0,male,premium,46.0,19.0,2.0,16.77,False
100330,Canada,22.0,female,premium,16.0,18.0,2.0,17.45,False
100331,United States,35.0,male,premium,14.0,15.0,0.0,15.93,True
100332,United Kingdom,33.0,female,family,26.0,15.0,1.0,20.0,True
100333,Australia,36.0,female,basic,21.0,17.0,1.0,8.5,False
100334,United States,48.0,male,premium,18.0,14.0,1.0,14.88,False
100335,United Kingdom,45.0,female,family,21.0,25.0,2.0,20.61,False
100336,United States,29.0,female,student,38.0,15.0,0.0,6.81,True
100337,Canada,40.0,female,premium,30.0,13.0,1.0,16.43,False
100338,United States,56.0,male,premium,14.0,18.0,2.0,16.53,True
100339,Malaysia,28.0,male,basic,44.0,19.0,1.0,8.45,False
100340,United States,40.0,female,basic,11.0,18.0,3.0,8.52,True
100341,Malaysia,36.0,female,basic,18.0,10.0,2.0,9.86,False
100342,Canada,37.0,male,family,19.0,6.0,3.0,19.95,False
100343,Singapore,18.0,female,basic,13.0,20.0,2.0,8.66,False
100344,Canada,55.0,male,family,41.0,13.0,2.0,19.47,False
100345,Canada,29.0,male,basic,13.0,14.0,2.0,8.92,True
100346,Malaysia,50.0,male,student,15.0,18.0,0.0,7.74,True
100347,United States,31.0,male,family,33.0,17.0,2.0,20.33,False
100348,Singapore,30.0,male,basic,12.0,25.0,6.0,9.08,True
100349,United States,53.0,male,basic,5.0,18.0,4.0,9.78,False
100350,United Kingdom,50.0,female,basic,18.0,18.0,1.0,9.69,False
100351,United States,41.0,female,student,7.0,17.0,0.0,7.16,False
100352,Singapore,47.0,male,basic,6.0,18.0,2.0,10.38,False
100353,Singapore,35.0,female,premium,2.0,24.0,0.0,15.87,True
100354,Singapore,38.0,male,premium,2.0,23.0,1.0,16.54,False
100355,Singapore,30.0,male,family,3.0,16.0,0.0,19.79,True
100356,Canada,49.0,male,premium,48.0,22.0,0.0,16.44,False
100357,Canada,30.0,female,premium,3.0,17.0,3.0,15.87,False
100358,Singapore,56.0,male,student,7.0,19.0,0.0,7.22,True
100359,Singapore,34.0,male,basic,15.0,18.0,2.0,10.19,True
100360,Malaysia,38.0,female,family,26.0,17.0,1.0,20.47,False
100361,United States,47.0,male,basic,28.0,18.0,1.0,9.23,False
100362,United States,38.0,male,premium,9.0,20.0,0.0,15.6,False
100363,United States,34.0,nonbinary,student,18.0,16.0,1.0,7.08,True
100364,United Kingdom,38.0,male,family,15.0,24.0,0.0,19.49,True
100365,Singapore,49.0,female,family,17.0,19.0,0.0,20.43,False
100366,Canada,30.0,female,basic,19.0,12.0,2.0,9.42,False
100367,United Kingdom,36.0,male,premium,22.0,16.0,3.0,15.9,True
100368,United States,38.0,female,premium,10.0,14.0,0.0,16.82,False
100369,Australia,37.0,female,premium,13.0,12.0,4.0,16.75,False
100370,Canada,37.0,female,premium,64.0,26.0,2.0,16.06,True
100371,United States,60.0,female,basic,11.0,12.0,1.0,9.27,False
100372,United States,36.0,male,basic,18.0,18.0,2.0,8.7,False
100373,United States,35.0,female,basic,15.0,18.0,2.0,8.85,True
100374,United States,36.0,male,premium,17.0,13.0,1.0,15.45,True
100375,United States,22.0,female,basic,34.0,13.0,2.0,8.75,True
100376,Malaysia,26.0,male,student,14.0,15.0,1.0,6.94,True
100377,Singapore,32.0,female,premium,6.0,17.0,0.0,15.16,False
100378,Singapore,52.0,male,basic,10.0,16.0,2.0,9.28,False
100379,Canada,38.0,female,family,14.0,20.0,1.0,20.5,True
100380,Singapore,32.0,male,family,19.0,19.0,1.0,19.99,False
100381,Malaysia,37.0,female,basic,9.0,18.0,0.0,8.98,True
100382,Canada,57.0,female,basic,10.0,18.0,0.0,8.86,False
100383,Singapore,53.0,female,basic,20.0,15.0,1.0,8.29,False
100384,United States,28.0,male,basic,20.0,18.0,3.0,8.69,False
100385,Malaysia,32.0,male,family,31.0,16.0,0.0,20.72,True
100386,United Kingdom,37.0,female,student,10.0,23.0,2.0,5.77,True
100387,Malaysia,41.0,female,basic,24.0,18.0,1.0,8.58,True
100388,United States,35.0,male,family,15.0,18.0,2.0,20.4,False
100389,Australia,47.0,female,basic,11.0,17.0,2.0,8.64,True
100390,United Kingdom,50.0,female,premium,15.0,9.0,1.0,15.6,True
100391,United States,31.0,male,family,17.0,22.0,2.0,21.01,False
100392,Singapore,41.0,male,premium,6.0,17.0,0.0,16.18,True
100393,United Kingdom,49.0,female,basic,6.0,18.0,6.0,9.46,True
100394,United States,24.0,female,premium,26.0,23.0,0.0,16.24,False
100395,Singapore,38.0,female,student,12.0,22.0,2.0,7.07,False
100396,Australia,25.0,female,basic,19.0,18.0,2.0,9.62,True
100397,United States,26.0,male,basic,26.0,9.0,1.0,9.94,False
100398,Singapore,31.0,female,basic,15.0,12.0,0.0,8.15,True
100399,Singapore,44.0,male,premium,24.0,18.0,0.0,15.97,True
100400,United States,34.0,male,premium,17.0,18.0,2.0,15.97,False
100401,Malaysia,30.0,male,family,18.0,13.0,1.0,19.78,False
100402,Canada,39.0,female,family,36.0,26.0,0.0,20.48,True
100403,United States,24.0,female,student,14.0,19.0,1.0,7.12,False
100404,Malaysia,43.0,female,family,26.0,19.0,1.0,20.95,False
100405,Australia,52.0,male,basic,5.0,20.0,1.0,9.54,False
100406,United States,37.0,male,premium,19.0,16.0,4.0,16.67,True
